"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","encounter_year","e_present_condition_code","l_d","encounter_month"
102875497,1,4,20,6,2006,2012,5,"dead",1
102875504,1,4,20,6,2006,2007,3,"unknown",12
102875507,1,5,20,6,2006,2008,5,"dead",1
102875510,1,5,20,6,2006,2007,3,"unknown",1
102875512,1,5,20,6,2006,2007,3,"unknown",1
102875513,1,5,20,6,2006,2007,3,"unknown",1
102875517,1,4,20,6,2006,2010,5,"dead",1
102875518,1,5,20,6,2006,2010,5,"dead",12
102875519,1,5,20,6,2006,2010,5,"dead",1
102875522,1,5,20,6,2006,2007,3,"unknown",1
102875527,1,5,20,6,2006,2010,5,"dead",11
102875529,1,5,20,6,2006,2007,3,"unknown",1
102875530,1,4,20,6,2006,2011,5,"dead",1
102875532,1,4,20,6,2006,2008,5,"dead",1
102875533,1,5,20,6,2006,2008,5,"dead",12
102875535,1,4,20,6,2006,2009,5,"dead",9
102875539,1,5,20,6,2006,2009,5,"dead",1
102875540,1,4,20,6,2006,2010,5,"dead",12
102875541,1,4,20,6,2006,2007,3,"unknown",2
102875543,1,5,20,6,2006,2008,5,"dead",1
102875549,1,5,20,6,2006,2010,5,"dead",1
102875550,1,5,20,6,2006,2008,5,"dead",1
102875552,1,4,20,6,2006,2007,3,"unknown",1
102875553,1,5,20,6,2006,2007,3,"unknown",1
102875555,1,4,20,6,2006,2010,5,"dead",1
102875556,1,5,20,6,2006,2007,3,"unknown",1
102875559,1,4,20,6,2006,2007,3,"unknown",1
102875563,1,4,20,6,2006,2011,5,"dead",1
102875566,4,5,26,6,2006,2009,5,"dead",1
102875568,4,4,26,6,2006,2010,5,"dead",1
102875579,1,5,26,6,2006,2009,5,"dead",9
102875581,1,4,26,6,2006,2012,5,"dead",12
102875584,1,4,26,6,2006,2011,5,"dead",9
102875585,1,5,26,6,2006,2007,3,"unknown",9
102875592,1,4,26,6,2006,2012,5,"dead",9
102875593,1,4,26,6,2006,2009,5,"dead",5
102875594,1,5,26,6,2006,2008,5,"dead",1
102875598,1,4,26,6,2006,2007,3,"unknown",3
102875601,1,5,26,6,2006,2009,5,"dead",9
102875608,1,5,26,6,2006,2011,4,"dead",1
102875611,1,5,26,6,2006,2007,5,"dead",1
102875617,1,5,26,6,2006,2012,5,"dead",9
102875619,1,4,26,6,2006,2007,3,"unknown",9
102875628,1,4,26,6,2006,2007,3,"unknown",2
