"band_id","age","sex","2005","2006","2007","2008","2009","2010","2011","NA","cap"
96897806,1,4,0,1,0,0,0,0,1,0,"0100001"
96897807,1,4,0,1,1,0,0,0,0,0,"0110000"
96897808,1,5,0,1,0,0,1,0,0,0,"0100100"
96897809,1,5,0,1,0,0,0,0,0,0,"0100000"
96897810,1,4,0,1,0,0,0,0,0,0,"0100000"
96897811,1,4,0,1,0,0,0,0,0,0,"0100000"
96897812,1,4,0,1,0,0,0,0,0,0,"0100000"
96897813,1,5,0,1,0,0,0,1,0,0,"0100010"
96897814,1,5,0,1,0,0,0,0,0,0,"0100000"
96897815,1,4,0,1,0,0,0,0,0,0,"0100000"
96897816,1,4,0,1,0,0,0,0,0,0,"0100000"
96897817,1,5,0,1,0,0,0,0,0,0,"0100000"
96897818,1,5,0,1,0,0,0,0,0,0,"0100000"
96897819,1,5,0,1,0,0,0,0,0,0,"0100000"
96897820,1,4,0,1,0,0,0,1,0,0,"0100010"
96897821,1,4,0,1,0,0,0,0,0,0,"0100000"
96897822,1,5,0,1,0,0,0,0,0,0,"0100000"
96897823,1,4,0,1,0,0,0,0,0,0,"0100000"
96897824,1,4,0,1,0,0,0,0,0,0,"0100000"
96897825,1,4,0,1,0,0,0,0,0,0,"0100000"
96897826,1,4,0,1,0,0,0,0,0,0,"0100000"
96897827,1,4,0,1,0,0,0,0,0,0,"0100000"
96897828,1,5,0,1,0,0,1,0,0,0,"0100100"
96897829,1,5,0,1,0,0,1,0,0,0,"0100100"
96897830,1,5,0,1,0,0,0,0,0,0,"0100000"
96897831,1,5,0,1,0,0,0,0,0,0,"0100000"
96897832,2,4,0,1,0,0,0,0,0,0,"0100000"
96897833,1,4,0,1,0,0,0,0,0,0,"0100000"
96897834,2,4,0,1,1,0,0,0,0,0,"0110000"
96897835,1,5,0,1,0,0,0,0,0,0,"0100000"
96897836,2,4,0,1,1,0,0,0,0,0,"0110000"
96897837,1,4,0,1,1,0,0,0,0,0,"0110000"
96897838,2,5,0,1,0,0,0,0,0,0,"0100000"
96897839,1,4,0,1,0,0,0,0,0,0,"0100000"
96897840,1,5,0,1,0,0,0,0,0,0,"0100000"
96897841,2,5,0,1,0,0,0,0,0,0,"0100000"
96897842,1,5,0,1,0,0,0,0,0,0,"0100000"
96897843,1,4,0,1,1,0,0,0,0,0,"0110000"
96897844,1,5,0,1,0,0,0,1,0,0,"0100010"
96897845,1,4,0,1,0,0,0,0,0,0,"0100000"
96897846,1,5,0,1,0,0,0,0,0,0,"0100000"
96897847,1,4,0,1,0,0,0,0,0,0,"0100000"
96897848,1,5,0,1,0,0,1,0,0,0,"0100100"
96897849,2,4,0,1,0,0,0,0,0,0,"0100000"
96897850,2,4,0,1,0,0,0,0,0,0,"0100000"
96897851,1,4,0,1,0,0,0,0,0,0,"0100000"
96897852,1,5,0,1,0,0,0,0,0,0,"0100000"
96897853,2,5,0,1,0,0,0,0,0,0,"0100000"
96897854,2,4,0,1,1,0,0,0,0,0,"0110000"
96897856,1,4,0,1,0,0,0,0,0,0,"0100000"
96897857,1,4,0,1,0,0,0,0,0,0,"0100000"
96897858,1,4,0,1,0,0,0,0,0,0,"0100000"
96897859,2,5,0,1,0,0,1,0,0,0,"0100100"
96897860,1,5,0,1,0,0,0,0,0,0,"0100000"
96897861,1,4,0,1,0,0,0,0,0,0,"0100000"
96897862,2,5,0,1,0,0,0,0,0,0,"0100000"
96897863,1,5,0,1,0,0,0,0,0,0,"0100000"
96897864,1,5,0,1,0,0,0,0,0,0,"0100000"
96897865,1,4,0,1,0,0,0,0,0,0,"0100000"
96897866,1,4,0,1,0,0,0,0,0,0,"0100000"
96897867,1,5,0,1,0,0,0,0,1,0,"0100001"
96897868,2,5,0,1,1,0,0,0,0,0,"0110000"
96897869,2,4,0,1,0,0,1,0,0,0,"0100100"
96897870,1,4,0,1,0,0,0,0,0,0,"0100000"
96897871,1,5,0,1,0,0,0,1,0,0,"0100010"
96897872,1,4,0,1,0,0,0,0,0,0,"0100000"
96897873,2,4,0,1,0,0,1,0,0,0,"0100100"
96897874,1,4,0,1,0,0,0,0,0,0,"0100000"
96897875,2,5,0,1,0,0,1,0,0,0,"0100100"
96897876,1,4,0,1,0,0,0,0,0,0,"0100000"
96897877,2,5,0,1,0,0,0,0,0,0,"0100000"
96897878,1,5,0,1,0,0,0,0,0,0,"0100000"
96897879,1,4,0,1,0,0,0,0,0,0,"0100000"
96897880,2,4,0,1,0,0,0,0,0,0,"0100000"
96897881,1,4,0,1,0,1,0,0,0,0,"0101000"
96897882,1,4,0,1,0,0,0,0,0,0,"0100000"
96897883,1,5,0,1,0,0,0,0,0,0,"0100000"
96897884,1,5,0,1,0,0,0,0,0,0,"0100000"
96897885,2,4,0,1,0,0,0,0,0,0,"0100000"
96897886,1,5,0,1,0,0,0,0,0,0,"0100000"
96897887,1,4,0,1,0,0,0,0,0,0,"0100000"
96897888,1,5,0,1,0,0,0,0,0,0,"0100000"
96897889,1,4,0,1,0,0,0,0,0,0,"0100000"
96897890,2,4,0,1,0,0,0,0,0,0,"0100000"
96897891,1,5,0,1,0,0,0,0,0,0,"0100000"
96897892,1,5,0,1,0,0,0,1,0,0,"0100010"
96897893,2,5,0,1,0,0,0,0,0,0,"0100000"
96897894,2,5,0,1,0,0,0,0,0,0,"0100000"
96897895,2,4,0,1,0,0,0,0,0,0,"0100000"
96897896,1,4,0,1,0,0,0,0,0,0,"0100000"
96897897,1,5,0,1,0,0,0,0,0,0,"0100000"
96897898,2,5,0,1,0,0,0,1,0,0,"0100010"
96897899,1,5,0,1,0,0,0,1,0,0,"0100010"
96897900,1,5,0,1,0,1,0,0,0,0,"0101000"
96897956,1,5,0,1,0,0,0,0,0,0,"0100000"
96897966,1,5,1,0,0,0,0,0,0,0,"1000000"
96897981,1,4,0,0,0,0,0,1,0,0,"0000010"
96897988,1,4,0,1,0,0,0,0,0,0,"0100000"
96897991,1,4,0,0,1,0,0,0,0,0,"0010000"
96897993,1,5,0,0,0,1,0,0,0,0,"0001000"
