"","band","sex","age","ch"
"218",96897835,5,1,"0100000"
"219",96897836,4,2,"0110000"
"220",96897837,4,1,"0110000"
"221",96897838,5,2,"0100000"
"222",96897839,4,1,"0100000"
"223",96897840,5,1,"0100000"
"224",96897841,5,2,"0100000"
"225",96897842,5,1,"0100000"
"226",96897843,4,1,"0110000"
"227",96897844,5,1,"0100010"
"228",96897845,4,1,"0100000"
"229",96897846,5,1,"0100000"
"230",96897847,4,1,"0100000"
"231",96897848,5,1,"0100100"
"232",96897849,4,2,"0100000"
"233",96897850,4,2,"0100000"
"234",96897851,4,1,"0100000"
"235",96897852,5,1,"0100000"
"236",96897853,5,2,"0100000"
"237",96897854,4,2,"0110000"
"238",96897856,4,1,"0100000"
"239",96897857,4,1,"0100000"
"240",96897858,4,1,"0100000"
"241",96897859,5,2,"0100100"
"242",96897860,5,1,"0100000"
"243",96897861,4,1,"0100000"
"244",96897862,5,2,"0100000"
"245",96897863,5,1,"0100000"
"246",96897864,5,1,"0100000"
"247",96897865,4,1,"0100000"
"248",96897866,4,1,"0100000"
"249",96897867,5,1,"0100001"
"250",96897868,5,2,"0110000"
"251",96897869,4,2,"0100100"
"252",96897870,4,1,"0100000"
"253",96897871,5,1,"0100010"
"254",96897872,4,1,"0100000"
"255",96897873,4,2,"0100100"
"256",96897874,4,1,"0100000"
"257",96897875,5,2,"0100100"
"258",96897876,4,1,"0100000"
"259",96897877,5,2,"0100000"
"260",96897878,5,1,"0100000"
"261",96897879,4,1,"0100000"
"262",96897880,4,2,"0100000"
"263",96897881,4,1,"0101000"
"264",96897882,4,1,"0100000"
"265",96897883,5,1,"0100000"
"266",96897884,5,1,"0100000"
"267",96897885,4,2,"0100000"
"268",96897886,5,1,"0100000"
"269",96897887,4,1,"0100000"
"270",96897888,5,1,"0100000"
"271",96897889,4,1,"0100000"
"272",96897890,4,2,"0100000"
"273",96897891,5,1,"0100000"
"274",96897892,5,1,"0100010"
"275",96897893,5,2,"0100000"
"276",96897894,5,2,"0100000"
"277",96897895,4,2,"0100000"
"278",96897896,4,1,"0100000"
"279",96897897,5,1,"0100000"
"280",96897898,5,2,"0100010"
"281",96897899,5,1,"0100010"
"282",96897900,5,1,"0101000"
"283",96897956,5,1,"0100000"
"284",96897966,5,1,"1000000"
"285",96897981,4,1,"0000010"
"286",96897988,4,1,"0100000"
"287",96897991,4,1,"0010000"
"288",96897993,5,1,"0001000"
"289",97888511,4,1,"0100000"
"290",97888516,4,1,"1000000"
"291",97888547,5,1,"0010000"
"292",97888562,5,1,"0100000"
"293",97888570,4,4,"0100000"
"294",97888592,4,1,"0000010"
"295",97888600,5,1,"0000001"
"296",97888609,4,4,"0100000"
"297",97888610,4,4,"1000000"
"298",97888624,4,4,"0000010"
"299",97888632,5,4,"0010000"
"300",97888642,4,1,"0000100"
"301",97888658,4,1,"0000010"
"302",97888671,4,1,"0010000"
"303",97888679,4,1,"1000000"
"304",97888699,5,4,"1000000"
"305",97888705,5,1,"1000000"
"306",97888706,4,1,"0001000"
"307",97888733,4,1,"0000100"
"308",97888737,4,1,"1000000"
"309",97888741,5,1,"0010000"
"310",97888748,5,1,"0001000"
"311",97888762,5,1,"1000000"
"312",97888763,4,1,"0100000"
"313",97888769,5,1,"0010000"
"314",97888771,5,1,"0100000"
"315",97888773,5,1,"1000000"
"316",97888783,5,1,"1000000"
"317",97888791,4,1,"0010000"
"318",97888795,5,1,"1000000"
"319",97888796,5,1,"0000001"
"320",97888798,4,1,"1000000"
"321",97888824,5,1,"0010000"
"322",97888837,4,1,"0001000"
"323",97888848,5,1,"0100000"
"324",97888849,5,1,"1000000"
"325",97888861,4,1,"1000000"
"326",97888875,5,1,"0001000"
"327",97888907,5,1,"0100000"
"328",97888912,4,1,"1000000"
"329",97888914,4,1,"1000000"
"330",97888919,4,1,"0100000"
"331",97888939,5,1,"0010000"
"332",97888948,4,1,"0000100"
"333",97888970,4,1,"1000000"
"334",97888980,5,1,"1000000"
"335",97888982,5,1,"0100000"
"336",97888990,4,1,"0100000"
