B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_REMARKS,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REMARKS,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0930",-93.08333,"","06569","","5","1720","Canada Goose","095857485",06/27/2002,"27","06","2002","N",667.5,"50","","","","B#03177; C#2503",10,"US","000",06/26/2003,"06","2003","0","","2","","29","445",44.91667,"",,"0931",-93.25,"","","07","","","27","21","01",06/14/2003,"14","06","2003",1,2,"095857485","","N"
"4","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0930",-93.08333,"","06569","","4","1720","Canada Goose","095857500",06/27/2002,"27","06","2002","N",318.6,"52","","","","B#04069; C#1004",10,"US","000",03/09/2004,"03","2004","0","","2","","29","393",39.58333,"",,"0950",-95.08333,"","","07","","","29","21","01",01/31/2004,"31","01","2004",2,1.58,"095857500","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","4","1720","Canada Goose","095858090",06/20/2001,"20","06","2001","N",1344.2,"79","","","","B#05268; C#3805",10,"CA","000",09/25/2005,"09","2005","0","","6","","01","523",52.58333,"",,"1054",-105.75,"","","03","","","11","21","06",09/20/2005,"20","09","2005",5,5.25,"095858090","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095858094",06/20/2001,"20","06","2001","NE",569.7,"39","","N","E","B#06034C#0506;",10,"US","",02/19/2006,"02","2006","0","","2","","66","380",38.08333,"CAVE RUN LK",,"0833",-83.58333,"","FARMERS","07","","CAGO","21","23","01",06/21/2005,"21","06","2005",4,5,"095858094","","N"
"4","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095858114",06/26/2002,"26","06","2002","N",518,"36","","","","B#05277; C#4905 Fix HP longitude to correspond to long deg blk.",33,"US","000",10/04/2005,"10","2005","0","","2","","01","424",42.75,"",,"0933",-93.5,"","","05","","","19","21","06",10/03/2005,"03","10","2005",4,3.33,"095858114","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095858117",06/26/2002,"26","06","2002","NE",408.9,"35","","","","B#05004; C#5204",10,"US","000",01/04/2005,"01","2005","0","","2","","01","385",38.91667,"",,"0872",-87.41667,"","","03","","","18","21","06",01/01/2005,"01","01","2005",3,3.58,"095858117","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095857619",06/26/2002,"26","06","2002","NW",171.3,"38","","","","B#05306; C#4405",10,"US","000",11/02/2005,"11","2005","0","","3","","01","372",37.41667,"",,"0944",-94.75,"","","03","","","20","21","06",10/29/2005,"29","10","2005",4,4.33,"095857619","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","4","1720","Canada Goose","095857012",06/20/2001,"20","06","2001","N",783.7,"50","","","","B#01281; C#1102",10,"US","000",10/08/2001,"10","2001","0","","2","","01","463",46.58333,"",,"0940",-94.08333,"","","03","","","27","21","06",09/30/2001,"30","09","2001",1,1.25,"095857012","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095857138",06/20/2001,"20","06","2001","N",745,"81","","Y","E","",10,"US","013",10/04/2007,"10","2007","0","","3","","01","451",45.25,"",,"0983",-98.58333,"WHNKBD: XE38","WARNER","03","","CANADA GOOSE","46","21","61",10/04/2007,"04","10","2007",7,7.33,"095857138","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","4","1720","Canada Goose","095856626",06/18/2001,"18","06","2001","NW",1506.2,"89","","Y","E","",0,"US","000",10/22/2007,"10","2007","0","","4","","29","473",47.65889,"",,"1172",-117.42611,"NECK COLLAR: XV26 BLACK ON WHITE","SPOKANE","07","","CANADA GOOSE","53","21","01",10/06/2007,"06","10","2007",7,7.33,"095856626","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095856649",06/18/2001,"18","06","2001","SW",325.4,"83","","","","B#05331; C#4705",10,"US","000",11/27/2005,"11","2005","0","","3","","01","315",31.91667,"",,"0971",-97.25,"","","03","","","48","21","06",11/20/2005,"20","11","2005",5,5.42,"095856649","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","352",35.41667,"0934",-93.75,"","06569","","5","1720","Canada Goose","095857229",06/24/2002,"24","06","2002","NW",101.6,"67","","","","B#03362; C#5203",10,"US","000",12/28/2003,"12","2003","0","","3","","01","362",36.41667,"",,"0950",-95.08333,"","","03","","","40","21","06",12/27/2003,"27","12","2003",2,2.5,"095857229","","N"
