B AGE CODE,B AREA CODE,B BAND SIZE CODE,B BAND STATUS CODE,B BAND TYPE CODE,B BIRD STATUS,B COMMENTS,B COORD PRECISION,B DIRECTION CODE,B EXTRA INFO CODE,B FLYWAY CODE,B HOW AGED CODE,B HOW CAPTURED,B HOW SEXED CODE,B LAT,B LAT FLOAT,B LON,B LON FLOAT,B MARKER LONG DESC,B PERMIT NUM,B REMARKS,B SEX CODE,B SPECIES ID,B SPECIES NAME,BAND ID,BANDING DATE,BANDING DAY,BANDING MONTH,BANDING YEAR,BEARING,DISTANCE,E AREA CODE,E CAPTURE TIME,E CERTIFICATE FLAG,E CERTIFICATE LANGUAGE,E COMMENTS,E COORD PRECISION,E COUNTRY CODE,E COUNTY CODE,E CREATE DATE,E CREATE MONTH,E CREATE YEAR,E DIRECTION CODE,E ENC COUNTY ORIGINAL,E FLYWAY CODE,E HOW CAPTURED,E HOW OBTAINED CODE,E LAT,E LAT FLOAT,E LOCATION DESCRIPTION,E LOCATION ID,E LON,E LON FLOAT,E MARKER LONG DESC,E PLACE NAME,E PRESENT CONDITION CODE,E REMARKS,E SPECIES ID,E SPECIES NAME,E STATE CODE,E WHO OBTAINED CODE,E WHY REPORTED CODE,ENC PERMIT,ENCOUNTER DATE,ENCOUNTER DAY,ENCOUNTER MONTH,ENCOUNTER YEAR,HSS,MIN AGE AT ENC,ORIGINAL BAND,OTHER BANDS,SAME 10 MIN BLOCK,REC_SOURCE,ENC ERROR
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57893256,11/2/1965,2,11,1965,,0,7,,9,E,B#00000; create date from C#0366,10,US,0,3/31/1966,3,1966,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,5,,,,5,22,1,,11/25/1965,25,11,1965,1,0.42,57893256,,Y,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57893296,11/2/1965,2,11,1965,N,11.5,7,,9,E,B#06450; create date from C#1170,10,US,0,11/30/1970,11,1970,0,,2,,98,351,35.25,,,930,-93.08333,<CLOB>,,2,,,,5,21,1,,,41,9,1970,99,,57893296,,N,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57893323,11/2/1965,2,11,1965,W,39.4,7,,9,E,B#00000; create date from C#1266,10,US,0,12/31/1966,12,1966,0,,2,,0,351,35.25,,,934,-93.75,<CLOB>,,5,,,,5,22,1,,10/22/1966,22,10,1966,2,1.33,57893323,,N,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57893337,11/2/1965,2,11,1965,NE,167.6,7,,9,E,B#21618; create date from C#0577,10,US,0,5/31/1977,5,1977,0,,2,,0,362,36.41667,,,903,-90.58333,<CLOB>,,3,,,,5,21,1,,2/6/1977,6,2,1977,12,11.67,57893337,,N,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57893352,11/2/1965,2,11,1965,,0,7,,9,E,B#00000; create date from C#0366,10,US,0,3/31/1966,3,1966,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,5,,,,5,22,1,,12/15/1965,15,12,1965,1,0.5,57893352,,Y,DB,
2,52,8,0,11,3,,10,0,0,2,,,,393,39.58333,931,-93.25,,6228,,4,1720,Canada Goose,57898002,12/29/1965,29,12,1965,SE,302.1,7,,9,E,B#23264; C#0579,10,US,0,5/20/1979,5,1979,0,,2,,1,354,35.75,,,903,-90.58333,<CLOB>,,3,,,,5,21,1,,1/7/1979,7,1,1979,14,13.58,57898002,,N,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57870652,11/10/1964,10,11,1964,,0,7,,9,E,B#25900; C#2782; Create Date = 12/31 because we could not calculate accurate create date from cycle processed.,10,US,0,12/31/1982,12,1982,0,,2,,66,350,35.08333,,,930,-93.08333,<CLOB>,,7,,,,5,22,1,,2/15/1982,15,2,1982,18,17.67,57870652,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57870662,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0265,10,US,0,3/7/1965,3,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,11/22/1964,22,11,1964,1,0.42,57870662,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57870733,11/10/1964,10,11,1964,,0,7,,9,E,B#03532; create date from C#0768,10,US,0,7/31/1968,7,1968,0,,2,,66,350,35.08333,,,930,-93.08333,<CLOB>,,7,,,,5,22,1,,1/10/1968,10,1,1968,4,3.58,57870733,,Y,DB,
2,7,8,0,11,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57893381,11/2/1965,2,11,1965,,0,7,,9,E,B#00000; create date from C#0667,10,US,0,8/7/1967,8,1967,0,,2,,66,350,35.08333,,,930,-93.08333,<CLOB>,,7,,,,5,22,1,,3/9/1967,9,3,1967,2,1.75,57893381,,Y,DB,
