add_info,b_age,b_coord_prec,b_day,b_dir,b_flyway,b_lat,b_long,b_month,b_region,b_year,band,band_type,current_band_type,b_lat_gis,b_long_gis,r_lat_gis,r_long_gis,how_obt,season_surv,permit,pres_cod,r_coord_pres,r_create_month,r_create_year,r_day,r_dir,r_flyway,r_lat,r_long,r_month,r_region,r_year,replaced_band_code,band,spp_num,status,who,why,age,b_month,b_state,live_dead,flyway,r_month,r_region,r_state,sex,species
0,1,10,24,0,2,351,931,6,7,2003,97889556,1,1,35.25,-93.25,35.41667,-93.91667,1,1,6569,3,10,10,2003,5,0,2,352,935,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97890047,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,5,10,10,2003,6,0,2,351,930,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,July,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889588,1,1,35.25,-93.25,35.41667,-93.91667,1,1,6569,3,10,10,2003,3,0,2,352,935,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,23,0,2,352,932,6,7,2003,97889289,1,1,35.41667,-93.41667,35.41667,-93.41667,1,1,6569,3,10,1,2004,20,0,2,352,932,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889764,1,1,35.25,-93.25,35.25,-93.91667,1,1,6569,3,10,10,2003,11,0,2,351,935,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889585,1,1,35.25,-93.25,35.41667,-93.58333,1,1,6569,3,10,1,2004,18,0,2,352,933,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97889658,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,10,2003,5,0,2,351,930,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,July,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97889830,1,1,35.25,-93.25,34.91667,-94.08333,1,1,6569,3,10,2,2004,23,0,2,345,940,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,July,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,23,0,2,352,932,6,7,2003,97889243,1,1,35.41667,-93.41667,35.41667,-93.58333,1,1,6569,3,10,10,2003,11,0,2,352,933,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889574,1,1,35.25,-93.25,35.25,-93.91667,1,1,6569,5,10,2,2004,30,0,2,351,935,1,7,2004,0,Original,1720,3,21,7,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97890037,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,5,10,2,2004,21,0,2,351,930,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,July,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889546,1,1,35.25,-93.25,35.08333,-93.25,1,1,6569,3,10,1,2004,9,0,2,350,931,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97889644,1,1,35.25,-93.25,35.25,-93.25,1,1,6569,3,10,1,2004,17,0,2,351,931,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,July,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,23,0,2,352,932,6,7,2003,97889234,1,1,35.41667,-93.41667,35.41667,-93.41667,1,1,6569,5,10,11,2003,4,0,2,352,932,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,19,0,2,351,931,6,7,2003,97889214,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,10,2003,11,0,2,351,930,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,19,0,2,352,934,6,7,2003,97888649,1,1,35.41667,-93.75,35.41667,-93.75,1,1,6569,5,10,1,2004,17,0,2,352,934,1,7,2004,0,Original,1720,3,21,7,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,23,0,2,352,932,6,7,2003,97889256,1,1,35.41667,-93.41667,35.25,-93.41667,1,1,6569,3,10,10,2003,4,0,2,351,932,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889571,1,1,35.25,-93.25,35.41667,-93.91667,1,1,6569,3,10,10,2003,3,0,2,352,935,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97889818,1,1,35.25,-93.25,35.41667,-93.41667,1,1,6569,5,10,10,2004,4,0,2,352,932,10,7,2003,0,Original,1720,3,21,7,AfterHatchYear,July,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
