"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","state","encounter_day","encounter_month","encounter_year","e_present_condition_code","l_d"
114825134,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825139,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825140,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825141,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825142,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825143,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825144,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825145,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825151,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825156,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825165,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825166,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825167,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825169,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825175,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825182,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825185,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825189,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825191,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825195,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825196,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889702,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889705,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889707,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889712,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889715,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889726,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889728,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889735,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889738,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889741,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889745,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889746,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889750,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889753,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114889757,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
100888702,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888710,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888716,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888721,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888733,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888737,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888745,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888752,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888754,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890413,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890414,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890432,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890439,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890442,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890450,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890455,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890457,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890458,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890473,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890483,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890487,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890493,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
114825251,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825253,4,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825256,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825257,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825258,4,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
100888756,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888760,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888764,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888768,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888771,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888772,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888776,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888781,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888783,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888793,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888800,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889314,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889315,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889318,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889321,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
